,Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,hyper_link
22,23,Teddy Bridgewater,DEN,29,QB,14,14,7-7-0,285,426,66.9,3052,18,4.2,7,1.6,146,64,7.2,7.3,10.7,218.0,94.9,47.4,31,211,6.8,6.22,6.32,0,1,https://www.pro-football-reference.com/players/B/BridTe00.htm
23,24,Baker Mayfield,CLE,26,QB,14,14,6-8-0,253,418,60.5,3010,17,4.1,13,3.1,143,71,7.2,6.6,11.9,215.0,83.1,35.1,43,269,9.3,5.95,5.41,,,https://www.pro-football-reference.com/players/M/MayfBa00.htm
24,25,Lamar Jackson,BAL,24,QB,12,12,7-5-0,246,382,64.4,2882,16,4.2,13,3.4,135,49,7.5,6.9,11.7,240.2,87.0,50.7,38,190,9,6.41,5.78,4,4,https://www.pro-football-reference.com/players/J/JackLa00.htm
25,26,Davis Mills,HOU,23,QB,13,11,2-9-0,263,394,66.8,2664,16,4.1,10,2.5,118,67,6.8,6.4,10.1,204.9,88.8,35.5,31,206,7.3,5.78,5.48,,,https://www.pro-football-reference.com/players/M/MillDa02.htm
26,27,Tua Tagovailoa,MIA,23,QB,13,12,7-5-0,263,388,67.8,2653,16,4.1,10,2.6,137,65,6.8,6.5,10.1,204.1,90.1,49.7,20,152,4.9,6.13,5.81,0,2,https://www.pro-football-reference.com/players/T/TagoTu00.htm
27,28,Sam Darnold,CAR,24,QB,12,11,4-7-0,243,406,59.9,2527,9,2.2,13,3.2,123,63,6.2,5.2,10.4,210.6,71.9,33.2,35,204,7.9,5.27,4.35,,,https://www.pro-football-reference.com/players/D/DarnSa00.htm
28,29,Daniel Jones,NYG,24,QB,11,11,4-7-0,232,361,64.3,2428,10,2.8,7,1.9,116,54,6.7,6.4,10.5,220.7,84.8,41.5,22,160,5.7,5.92,5.62,1,1,https://www.pro-football-reference.com/players/J/JoneDa05.htm
30,30,Zach Wilson,NYJ,22,QB,13,13,3-10-0,213,383,55.6,2334,9,2.3,11,2.9,112,54,6.1,5.3,11.0,179.5,69.7,28.2,44,370,10.3,4.60,3.86,1,1,https://www.pro-football-reference.com/players/W/WilsZa00.htm
31,31,Justin Fields,CHI,22,qb,12,10,2-8-0,159,270,58.9,1870,7,2.6,10,3.7,83,64,6.9,5.8,11.8,155.8,73.2,26.4,36,264,11.8,5.25,4.24,,,https://www.pro-football-reference.com/players/F/FielJu00.htm
32,32,Andy Dalton,CHI,34,qb,8,6,3-3-0,149,236,63.1,1515,8,3.4,9,3.8,83,60,6.4,5.4,10.2,189.4,76.9,33.6,18,143,7.1,5.40,4.44,1,1,https://www.pro-football-reference.com/players/D/DaltAn00.htm
33,33,Jacoby Brissett,MIA,29,qb,11,5,2-3-0,141,225,62.7,1283,5,2.2,4,1.8,69,52,5.7,5.3,9.1,116.6,78.1,48.2,19,132,7.8,4.72,4.39,,,https://www.pro-football-reference.com/players/B/BrisJa00.htm
34,34,Jameis Winston,NOR,27,qb,7,7,5-2-0,95,161,59,1170,14,8.7,3,1.9,56,72,7.3,8.2,12.3,167.1,102.8,64.4,11,69,6.4,6.40,7.24,0,1,https://www.pro-football-reference.com/players/W/WinsJa00.htm
35,35,Trevor Siemian,NOR,30,qb,6,4,0-4-0,108,188,57.4,1154,11,5.9,3,1.6,61,46,6.1,6.6,10.7,192.3,88.4,35.5,9,64,4.6,5.53,5.96,1,1,https://www.pro-football-reference.com/players/S/SiemTr00.htm
36,36,Tyler Huntley,BAL,23,qb,7,4,1-3-0,122,188,64.9,1081,3,1.6,4,2.1,55,43,5.8,5.1,8.9,154.4,76.6,49.0,18,107,8.7,4.73,4.15,1,1,https://www.pro-football-reference.com/players/H/HuntTy01.htm
37,37,Taysom Hill,NOR,31,qb,12,9,4-1-0,78,134,58.2,978,4,3,5,3.7,43,70,7.3,6.2,12.5,81.5,75.4,42.5,9,64,6.3,6.39,5.38,,,https://www.pro-football-reference.com/players/H/HillTa00.htm
38,38,Tyrod Taylor,HOU,32,qb,6,6,2-4-0,91,150,60.7,966,5,3.3,5,3.3,44,52,6.4,5.6,10.6,161.0,76.7,40.4,13,119,8,5.20,4.43,,,https://www.pro-football-reference.com/players/T/TaylTy00.htm
39,39,Mike White,NYJ,26,qb,4,3,1-2-0,88,132,66.7,953,5,3.8,8,6.1,49,28,7.2,5.3,10.8,238.3,75.1,50.5,4,18,2.9,6.88,4.96,1,1,https://www.pro-football-reference.com/players/W/WhitMi01.htm
40,40,Mike Glennon,NYG,32,qb,6,4,0-4-0,90,167,53.9,790,4,2.4,10,6,43,60,4.7,2.5,8.8,131.7,49.7,11.9,9,68,5.1,4.10,2.00,,,https://www.pro-football-reference.com/players/G/GlenMi00.htm
41,41,Drew Lock,DEN,25,qb,6,3,0-3-0,67,111,60.4,787,2,1.8,2,1.8,32,44,7.1,6.6,11.7,131.2,80.4,23.4,9,52,7.5,6.13,5.71,,,https://www.pro-football-reference.com/players/L/LockDr00.htm
42,42,Colt McCoy,ARI,35,qb,8,3,2-1-0,74,99,74.7,740,3,3,1,1,39,50,7.5,7.6,10.0,92.5,101.4,54.5,6,40,5.7,6.67,6.81,,,https://www.pro-football-reference.com/players/M/McCoCo00.htm
43,43,Geno Smith,SEA,31,qb,4,3,1-2-0,65,95,68.4,702,5,5.3,1,1.1,31,84,7.4,8.0,10.8,175.5,103.0,45.8,13,117,12,5.42,5.93,,,https://www.pro-football-reference.com/players/S/SmitGe00.htm
44,44,Cam Newton,CAR,32,qb,8,5,0-5-0,69,126,54.8,684,4,3.2,5,4,32,64,5.4,4.3,9.9,85.5,64.4,25.5,10,83,7.4,4.42,3.35,,,https://www.pro-football-reference.com/players/N/NewtCa00.htm
45,45,Josh Johnson,2TM,35,,4,1,0-1-0,57,85,67.1,638,5,5.9,2,2.4,39,28,7.5,7.6,11.2,159.5,99.0,51.7,3,23,3.4,6.99,7.10,,,https://www.pro-football-reference.com/players/J/JohnJo05.htm
46,46,Trey Lance,SFO,21,qb,6,2,1-1-0,41,71,57.7,603,5,7,2,2.8,27,76,8.5,8.6,14.7,100.5,97.3,33.4,4,15,5.3,7.84,7.97,,,https://www.pro-football-reference.com/players/L/LancTr00.htm
47,47,Tim Boyle,DET,27,qb,5,3,0-3-0,61,94,64.9,526,3,3.2,6,6.4,28,42,5.6,3.4,8.6,105.2,63.5,26.4,0,0,0,5.60,3.36,,,https://www.pro-football-reference.com/players/B/BoylTi00.htm
48,48,Case Keenum,CLE,33,qb,7,2,2-0-0,47,72,65.3,462,3,4.2,1,1.4,25,34,6.4,6.6,9.8,66.0,91.3,36.9,5,29,6.5,5.62,5.82,,,https://www.pro-football-reference.com/players/K/KeenCa00.htm
49,49,Gardner Minshew II,PHI,25,qb,4,2,1-1-0,41,60,68.3,439,4,6.7,1,1.7,24,36,7.3,7.9,10.7,109.8,104.8,60.6,5,31,7.7,6.28,6.82,,,https://www.pro-football-reference.com/players/M/MinsGa00.htm
50,50,Cooper Rush,DAL,28,qb,5,1,1-0-0,30,47,63.8,422,3,6.4,1,2.1,18,73,9.0,9.3,14.1,84.4,105.1,41.8,3,19,6,8.06,8.36,1,1,https://www.pro-football-reference.com/players/R/RushCo00.htm
51,51,Jordan Love,GNB,23,qb,6,1,0-1-0,36,62,58.1,411,2,3.2,3,4.8,22,62,6.6,5.1,11.4,68.5,68.7,31.4,3,23,4.6,5.97,4.51,,,https://www.pro-football-reference.com/players/L/LoveJo03.htm
52,52,P.J. Walker,CAR,26,qb,5,1,1-0-0,36,66,54.5,362,1,1.5,3,4.5,19,24,5.5,3.7,10.1,72.4,56.5,19.3,7,47,9.6,4.32,2.74,,,https://www.pro-football-reference.com/players/W/WalkPh00.htm
53,53,Joe Flacco,NYJ,36,qb,2,1,0-1-0,27,42,64.3,338,3,7.1,0,0,14,62,8.0,9.5,12.5,169.0,113.0,43.5,2,13,4.5,7.39,8.75,,,https://www.pro-football-reference.com/players/F/FlacJo00.htm
54,54,Mason Rudolph,PIT,26,qb,2,1,0-0-1,35,58,60.3,277,1,1.7,1,1.7,16,36,4.8,4.3,7.9,138.5,70.8,39.5,0,0,0,4.78,4.34,1,0,https://www.pro-football-reference.com/players/R/RudoMa00.htm
55,55,Nick Foles,CHI,32,qb,1,1,1-0-0,24,35,68.6,250,1,2.9,0,0,14,30,7.1,7.7,10.4,250.0,98.5,45.6,4,21,10.3,5.87,6.38,1,1,https://www.pro-football-reference.com/players/F/FoleNi00.htm
56,56,Brian Hoyer,NWE,36,,5,0,,9,11,81.8,227,1,9.1,0,0,8,48,20.6,22.5,25.2,45.4,149.1,97.4,0,0,0,20.64,22.45,,,https://www.pro-football-reference.com/players/H/HoyeBr00.htm
57,57,Jake Fromm,NYG,23,qb,3,2,0-2-0,27,60,45,210,1,1.7,3,5,10,36,3.5,1.6,7.8,70.0,38.9,15.4,6,33,9.1,2.68,0.94,,,https://www.pro-football-reference.com/players/F/FromJa00.htm
58,58,Garrett Gilbert,WAS,30,qb,1,1,0-1-0,20,31,64.5,194,0,0,0,0,8,46,6.3,6.3,9.7,194.0,81.9,39.6,2,20,6.1,5.27,5.27,,,https://www.pro-football-reference.com/players/G/GilbGa01.htm
59,59,Sean Mannion,MIN,29,qb,1,1,0-1-0,22,36,61.1,189,1,2.8,0,0,8,30,5.3,5.8,8.6,189.0,84.1,33.5,2,15,5.3,4.58,5.11,,,https://www.pro-football-reference.com/players/M/MannSe00.htm
61,60,Brandon Allen,CIN,29,qb,6,1,0-1-0,17,34,50,149,2,5.9,0,0,5,26,4.4,5.6,8.8,24.8,81.6,8.4,4,33,10.5,3.05,4.11,0,1,https://www.pro-football-reference.com/players/A/AlleBr00.htm
62,61,Nick Mullens,CLE,26,qb,1,1,0-1-0,20,30,66.7,147,1,3.3,0,0,9,25,4.9,5.6,7.4,147.0,89.2,77.6,0,0,0,4.90,5.57,,,https://www.pro-football-reference.com/players/M/MullNi00.htm
63,62,Ian Book,NOR,23,qb,1,1,0-1-0,12,20,60,135,0,0,2,10,5,56,6.8,2.3,11.3,135.0,40.6,2.2,8,54,28.6,2.89,-0.32,,,https://www.pro-football-reference.com/players/B/BookIa00.htm
64,63,Kyle Allen,WAS,25,,2,0,,12,19,63.2,120,1,5.3,0,0,6,19,6.3,7.4,10.0,60.0,98.6,24.6,2,5,9.5,5.48,6.43,,,https://www.pro-football-reference.com/players/A/AlleKy00.htm
65,64,Cedrick Wilson Jr.,DAL,26,wr,16,4,,3,3,100,88,0,0,0,0,3,35,29.3,29.3,29.3,5.5,118.7,99.9,0,0,0,29.33,29.33,,,https://www.pro-football-reference.com/players/W/WilsCe01.htm
66,65,Chad Henne,KAN,36,,4,0,,11,16,68.8,82,0,0,0,0,6,17,5.1,5.1,7.5,20.5,80.7,69.2,0,0,0,5.13,5.13,,,https://www.pro-football-reference.com/players/H/HennCh01.htm
67,66,Tom Kennedy,DET,25,,12,0,,1,1,100,75,1,100,0,0,1,75,75.0,95.0,75.0,6.3,158.3,100.0,0,0,0,75.00,95.00,,,https://www.pro-football-reference.com/players/K/KennTo01.htm
68,67,Blaine Gabbert,TAM,32,,6,0,,7,11,63.6,67,0,0,0,0,4,23,6.1,6.1,9.6,11.2,80.5,31.2,1,10,8.3,4.75,4.75,,,https://www.pro-football-reference.com/players/G/GabbBl00.htm
69,68,Tyler Boyd,CIN,27,wr,16,10,,1,1,100,46,0,0,0,0,1,46,46.0,46.0,46.0,2.9,118.7,98.7,0,0,0,46.00,46.00,,,https://www.pro-football-reference.com/players/B/BoydTy00.htm
70,69,Jakobi Meyers,NWE,25,WR,17,16,,2,2,100,45,0,0,0,0,1,30,22.5,22.5,22.5,2.6,118.7,73.6,0,0,0,22.50,22.50,,,https://www.pro-football-reference.com/players/M/MeyeJa01.htm
71,70,Mitchell Trubisky,BUF,27,,6,0,,6,8,75,43,0,0,1,12.5,2,15,5.4,-0.3,7.2,7.2,47.4,73.2,0,0,0,5.38,-0.25,,,https://www.pro-football-reference.com/players/T/TrubMi00.htm
72,71,Jack Fox,DET,25,p,17,0,,2,3,66.7,38,0,0,0,0,2,21,12.7,12.7,19.0,2.2,109.7,,0,0,0,12.67,12.67,,,https://www.pro-football-reference.com/players/F/FoxxJa01.htm
73,72,Chris Streveler,ARI,26,,2,0,,6,9,66.7,36,0,0,0,0,1,17,4.0,4.0,6.0,18.0,74.3,2.3,2,17,18.2,1.73,1.73,,,https://www.pro-football-reference.com/players/S/StreCh00.htm
74,73,Justin Jefferson,MIN,22,WR,17,17,,2,4,50,35,0,0,0,0,2,24,8.8,8.8,17.5,2.1,80.2,42.7,0,0,0,8.75,8.75,,,https://www.pro-football-reference.com/players/J/JeffJu00.htm
75,74,C.J. Beathard,JAX,28,,2,0,,2,2,100,33,0,0,0,0,1,28,16.5,16.5,16.5,16.5,118.7,90.3,0,0,0,16.50,16.50,,,https://www.pro-football-reference.com/players/B/BeatC.00.htm
76,75,Christian Kirk,ARI,25,WR,17,11,,1,1,100,33,0,0,0,0,1,33,33.0,33.0,33.0,1.9,118.7,100.0,0,0,0,33.00,33.00,,,https://www.pro-football-reference.com/players/K/KirkCh01.htm
77,76,Kendrick Bourne,NWE,26,wr,17,5,,1,1,100,25,1,100,0,0,1,25,25.0,45.0,25.0,1.5,158.3,100.0,0,0,0,25.00,45.00,,,https://www.pro-football-reference.com/players/B/BourKe00.htm
78,77,Jacob Eason,IND,24,,1,0,,2,5,40,25,0,0,1,20,2,10,5.0,-4.0,12.5,25.0,16.7,0.1,0,0,0,5.00,-4.00,,,https://www.pro-football-reference.com/players/E/EasoJa00.htm
79,78,Deebo Samuel,SFO,25,WR,16,15,,1,2,50,24,1,50,0,0,1,24,12.0,22.0,24.0,1.5,133.3,98.7,0,0,0,12.00,22.00,,,https://www.pro-football-reference.com/players/S/SamuDe00.htm
80,79,Chris Banjo,ARI,31,,16,0,,1,1,100,23,0,0,0,0,1,23,23.0,23.0,23.0,1.4,118.7,,0,0,0,23.00,23.00,,,https://www.pro-football-reference.com/players/B/BanjCh00.htm
81,80,Josh Rosen,ATL,24,,4,0,,2,11,18.2,19,0,0,2,18.2,1,14,1.7,-6.5,9.5,4.8,0.0,0.1,0,0,0,1.73,-6.45,,,https://www.pro-football-reference.com/players/R/RoseJo01.htm
82,81,Kadarius Toney,NYG,22,wr,10,4,,1,3,33.3,19,0,0,0,0,1,19,6.3,6.3,19.0,1.9,56.2,1.8,1,6,25,3.25,3.25,,,https://www.pro-football-reference.com/players/T/ToneKa00.htm
83,82,Dante Pettis,NYG,26,,3,0,,1,1,100,16,0,0,0,0,1,16,16.0,16.0,16.0,5.3,118.7,92.5,0,0,0,16.00,16.00,,,https://www.pro-football-reference.com/players/P/PettDa00.htm
84,83,Courtland Sutton,DEN,26,WR,17,16,,1,1,100,16,0,0,0,0,1,16,16.0,16.0,16.0,0.9,118.7,99.9,0,0,0,16.00,16.00,,,https://www.pro-football-reference.com/players/S/SuttCo00.htm
85,84,Tommy Townsend,KAN,25,p,16,0,,1,1,100,16,0,0,0,0,1,16,16.0,16.0,16.0,1.0,118.7,,0,0,0,16.00,16.00,,,https://www.pro-football-reference.com/players/T/TownTo01.htm
86,85,Ryan Fitzpatrick,WAS,39,qb,1,1,0-1-0,3,6,50,13,0,0,0,0,0,6,2.2,2.2,4.3,13.0,56.2,2.3,1,2,14.3,1.57,1.57,,,https://www.pro-football-reference.com/players/F/FitzRy00.htm
87,86,Matthias Farley,TEN,29,,17,0,,1,1,100,6,0,0,0,0,1,6,6.0,6.0,6.0,0.4,91.7,,0,0,0,6.00,6.00,,,https://www.pro-football-reference.com/players/F/FarlMa00.htm
88,87,Derrick Henry,TEN,27,rb,8,8,,1,1,100,5,1,100,0,0,1,5,5.0,25.0,5.0,0.6,127.1,76.6,0,0,0,5.00,25.00,,,https://www.pro-football-reference.com/players/H/HenrDe00.htm
89,88,Kellen Mond,MIN,22,,1,0,,2,3,66.7,5,0,0,0,0,0,6,1.7,1.7,2.5,5.0,70.1,14.9,0,0,0,1.67,1.67,,,https://www.pro-football-reference.com/players/M/MondKe00.htm
90,89,John Wolford,LAR,26,,3,0,,1,4,25,5,0,0,1,25,0,5,1.3,-10.0,5.0,1.7,0.0,0.1,1,8,20,-0.60,-9.60,,,https://www.pro-football-reference.com/players/W/WolfJo00.htm
92,90,Ezekiel Elliott,DAL,26,RB,17,17,,1,1,100,4,0,0,0,0,0,4,4.0,4.0,4.0,0.2,83.3,9.9,0,0,0,4.00,4.00,,,https://www.pro-football-reference.com/players/E/ElliEz00.htm
93,91,Marcus Mariota,LVR,28,,10,0,,1,2,50,4,0,0,0,0,0,4,2.0,2.0,4.0,0.4,56.2,40.3,0,0,0,2.00,2.00,,,https://www.pro-football-reference.com/players/M/MariMa01.htm
94,92,Johnny Hekker,LAR,31,,17,0,,1,1,100,2,0,0,0,0,0,2,2.0,2.0,2.0,0.1,79.2,,0,0,0,2.00,2.00,,,https://www.pro-football-reference.com/players/H/HekkJo00.htm
95,93,Greg Ward,PHI,26,,17,0,,1,2,50,2,0,0,0,0,0,2,1.0,1.0,2.0,0.1,56.2,0.0,0,0,0,1.00,1.00,,,https://www.pro-football-reference.com/players/W/WardGr02.htm
96,94,Kendall Hinton,DEN,24,wr,16,1,,1,1,100,1,0,0,0,0,0,1,1.0,1.0,1.0,0.1,79.2,100.0,0,0,0,1.00,1.00,,,https://www.pro-football-reference.com/players/H/HintKe00.htm
97,95,Keenan Allen,LAC,29,WR,16,16,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,51.3,0,0,0,0.00,0.00,,,https://www.pro-football-reference.com/players/A/AlleKe00.htm
98,96,Danny Amendola,HOU,36,,8,0,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,3.3,0,0,0,0.00,0.00,,,https://www.pro-football-reference.com/players/A/AmenDa00.htm
99,97,Cole Beasley,BUF,32,wr,16,8,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,2.3,0,0,0,0.00,0.00,,,https://www.pro-football-reference.com/players/B/BeasCo00.htm
100,98,Chris Boswell,PIT,30,k,17,0,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,,0,0,0,0.00,0.00,,,https://www.pro-football-reference.com/players/B/BoswCh00.htm
101,99,A.J. Brown,TEN,24,WR,13,13,,0,2,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,2.4,0,0,0,0.00,0.00,,,https://www.pro-football-reference.com/players/B/BrowAJ00.htm
102,100,Rex Burkhead,HOU,31,rb,16,5,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,2.4,0,0,0,0.00,0.00,,,https://www.pro-football-reference.com/players/B/BurkRe00.htm
103,101,Keelan Cole,NYJ,28,WR,15,11,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,3.5,0,0,0,0.00,0.00,,,https://www.pro-football-reference.com/players/C/ColeKe00.htm
104,102,Riley Dixon,NYG,28,,17,0,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,,0,0,0,0.00,0.00,,,https://www.pro-football-reference.com/players/D/DixoRi00.htm
105,103,Leonard Fournette,TAM,26,RB,14,13,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,28.1,0,0,0,0.00,0.00,,,https://www.pro-football-reference.com/players/F/FourLe00.htm
106,104,Feleipe Franks,ATL,24,,9,0,,0,1,0,0,0,0,1,100,0,0,0.0,-45.0,,0.0,0.0,0.8,0,0,0,0.00,-45.00,,,https://www.pro-football-reference.com/players/F/FranFe00.htm
107,105,Mike Gesicki,MIA,26,te,17,9,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,4.2,0,0,0,0.00,0.00,,,https://www.pro-football-reference.com/players/G/GesiMi00.htm
108,106,Blake Gillikin,NOR,23,p,17,0,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,,0,0,0,0.00,0.00,,,https://www.pro-football-reference.com/players/G/GillBl00.htm
109,107,Sam Koch,BAL,39,p,17,0,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,,0,0,0,0.00,0.00,,,https://www.pro-football-reference.com/players/K/KochSa20.htm
110,108,Cooper Kupp,LAR,28,WR,17,17,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,10.4,0,0,0,0.00,0.00,,,https://www.pro-football-reference.com/players/K/KuppCo00.htm
111,109,Ty Long,LAC,28,p,17,0,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,,0,0,0,0.00,0.00,,,https://www.pro-football-reference.com/players/L/LongTy00.htm
112,110,David Montgomery,CHI,24,RB,13,13,,0,1,0,0,0,0,1,100,0,0,0.0,-45.0,,0.0,0.0,21.2,0,0,0,0.00,-45.00,,,https://www.pro-football-reference.com/players/M/MontDa01.htm
113,111,Cordarrelle Patterson,ATL,30,RB,16,13,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,2.9,0,0,0,0.00,0.00,,,https://www.pro-football-reference.com/players/P/PattCo00.htm
114,112,Brett Rypien,DEN,25,,1,0,,0,2,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,1.1,0,0,0,0.00,0.00,,,https://www.pro-football-reference.com/players/R/RypiBr00.htm
115,113,D'Andre Swift,DET,22,rb,13,4,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,0.5,0,0,0,0.00,0.00,,,https://www.pro-football-reference.com/players/S/SwifDA00.htm
